"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"79","RT @LongCovidHell: “Children with multisystem inflammatory syndrome #MISC - a condition linked with the virus that causes #COVID19 - have b…",FALSE,0,NA,2023-04-27 05:47:28,FALSE,NA,"1651463051672006656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mayodweller",14,TRUE,FALSE,NA,NA
"80","RT @litecoin_bull: LCB has friends In Australia.

Where Are Our Haters Who Laughed At Us. People Dying.

Australian Senator admits Covid wa…",FALSE,0,NA,2023-04-27 05:47:24,FALSE,NA,"1651463032793444352",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","holdtheline1111",137,TRUE,FALSE,NA,NA
"81","RT @litecoin_bull: LCB has friends In Australia.

Where Are Our Haters Who Laughed At Us. People Dying.

Australian Senator admits Covid wa…",FALSE,0,NA,2023-04-27 05:47:16,FALSE,NA,"1651463001071927298",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PaavoKuronen",137,TRUE,FALSE,NA,NA
"82","RT @Rob_Roos: 🚨 BREAKING:

In COVID hearing, #Pfizer director admits: #vaccine was never tested on preventing transmission.

""Get vaccinate…",FALSE,0,NA,2023-04-27 05:46:23,FALSE,NA,"1651462775913455623",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Time4Divorce",148726,TRUE,FALSE,NA,NA
"83","RT @litecoin_bull: LCB has friends In Australia.

Where Are Our Haters Who Laughed At Us. People Dying.

Australian Senator admits Covid wa…",FALSE,0,NA,2023-04-27 05:45:54,FALSE,NA,"1651462655650168834",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","litecoin_bull",137,TRUE,FALSE,NA,NA
"84","RT @bambkb: 🚨🚨🚨 🇺🇸 USA DMED database shows DISTURBING increases in morbidity after #Covid #Vaccine uptake :

Myocarditis 2800%

Various can…",FALSE,0,NA,2023-04-27 05:45:11,FALSE,NA,"1651462474586095618",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","burningdodo",184,TRUE,FALSE,NA,NA
"85","RT @lunali32972904: 《 #避风港 Haven》(185)
2023-4-4
 
#疫苗加强针毁掉了一位健康的年轻人
#COVID #booster #vaccine destroyed the life of a healthy young man http…",FALSE,0,NA,2023-04-27 05:43:52,FALSE,NA,"1651462142040711169",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","YubaiGe",2,TRUE,FALSE,NA,NA
"86","RT @LongCovidHell: ""We were surprised to observe such a decline in vascular health, which deteriorated even further with time since Covid-1…",FALSE,0,NA,2023-04-27 05:43:34,FALSE,NA,"1651462067067686912",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","happyhexer",88,TRUE,FALSE,NA,NA
"87","RT @bambkb: 🚨🚨🚨 🇺🇸 USA DMED database shows DISTURBING increases in morbidity after #Covid #Vaccine uptake :

Myocarditis 2800%

Various can…",FALSE,0,NA,2023-04-27 05:43:21,FALSE,NA,"1651462012373958657",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","joaquin369_",184,TRUE,FALSE,NA,NA
"88","RT @Jim_Jordan: Fauci wasn’t honest about #COVID. 

And Biden’s ATF director wants to take your guns. 

Americans are tired of unelected “e…",FALSE,0,NA,2023-04-27 05:42:54,FALSE,NA,"1651461900239093761",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","chantalcrmr57",1691,TRUE,FALSE,NA,NA
